cancel_order_buy_price,cancel_order_buy_volume,cancel_order_sell_price,cancel_order_sell_volume,execute_order_buy_price,execute_order_buy_volume,execute_order_sell_price,execute_order_sell_volume,new_order_buy_price,new_order_buy_volume,new_order_sell_price,new_order_sell_volume,time_index_volume
8.1331,-inf,8.1356,-inf,8.1342,4.768,8.1342,4.768,8.1333,5.3526,8.1354,5.5248,2016-04-29 09:51:45.915000$$2016-04-29 09:56:49.092
8.1323,-inf,8.136,-inf,8.1336,4.5539,8.1336,4.5539,8.1322,5.4571,8.1349,5.0503,2016-04-29 09:56:49.092000$$2016-04-29 10:01:49.631
8.1324,-inf,8.1346,-inf,8.1335,4.2655,8.1335,4.2655,8.1323,5.1468,8.1342,5.153,2016-04-29 10:01:49.631000$$2016-04-29 10:06:51.277
8.1321,-inf,8.1347,-inf,8.1332,4.4391,8.1332,4.4391,8.1326,5.2957,8.1345,5.3232,2016-04-29 10:06:51.277000$$2016-04-29 10:11:52.100
8.1325,-inf,8.1349,-inf,8.1334,4.0712,8.1334,4.0712,8.1325,5.4614,8.1344,5.3586,2016-04-29 10:11:52.100000$$2016-04-29 10:16:56.229
8.1309,-inf,8.1338,-inf,8.1323,4.5214,8.1324,4.4833,8.1305,5.3963,8.133,5.0213,2016-04-29 10:16:56.229000$$2016-04-29 10:21:56.553
8.1291,-inf,8.133,-inf,8.131,4.7308,8.131,4.7308,8.1292,5.0523,8.1321,5.1885,2016-04-29 10:21:56.553000$$2016-04-29 10:26:57.807
8.1293,-inf,8.1327,-inf,8.1304,4.5909,8.1304,4.5909,8.1292,5.0258,8.1317,5.222,2016-04-29 10:26:57.807000$$2016-04-29 10:31:57.819
8.1287,-inf,8.1319,-inf,8.13,4.8914,8.13,4.8914,8.1287,5.1323,8.1315,5.4358,2016-04-29 10:31:57.819000$$2016-04-29 10:36:58.018
8.1284,-inf,8.1317,-inf,8.13,4.6214,8.13,4.6214,8.1289,5.1603,8.1314,5.4863,2016-04-29 10:36:58.018000$$2016-04-29 10:42:06.254
8.1282,-inf,8.1314,-inf,8.13,4.5451,8.1299,4.5451,8.1282,5.474,8.131,5.0335,2016-04-29 10:42:06.254000$$2016-04-29 10:47:12.601
8.1275,-inf,8.1308,-inf,8.1292,4.3031,8.1292,4.3031,8.1274,5.1906,8.1299,4.9771,2016-04-29 10:47:12.601000$$2016-04-29 10:52:13.838
8.127,-inf,8.13,-inf,8.1285,4.602,8.1285,4.602,8.127,5.1125,8.1296,5.3523,2016-04-29 10:52:13.838000$$2016-04-29 10:57:14.518
8.1272,-inf,8.1302,-inf,8.129,4.2979,8.129,4.2711,8.1274,5.3583,8.1298,5.3243,2016-04-29 10:57:14.518000$$2016-04-29 11:02:16.102
8.1271,-inf,8.1328,-inf,8.1311,4.2986,8.1296,4.1977,8.1265,5.8048,8.1315,5.2569,2016-04-29 11:02:16.102000$$2016-04-29 11:07:16.246
8.1276,-inf,8.1297,-inf,8.1289,4.5868,8.1289,4.5868,8.1276,5.0343,8.1297,5.1652,2016-04-29 11:12:19.509000$$2016-04-29 11:17:22.053
8.1281,-inf,8.13,-inf,8.1292,4.4732,8.1292,4.4732,8.1282,4.8343,8.13,5.0972,2016-04-29 11:17:22.053000$$2016-04-29 11:22:22.101
8.1282,-inf,8.13,-inf,8.1293,4.1257,8.1293,4.1257,8.1283,5.0767,8.1299,5.2106,2016-04-29 11:22:22.101000$$2016-04-29 11:27:23.619
8.1282,-inf,8.1302,-inf,8.1287,4.7144,8.1287,4.7144,8.1282,5.1071,8.13,5.2783,2016-04-29 11:27:23.619000$$2016-04-29 11:32:33.348
8.1282,-inf,8.1307,-inf,8.1292,4.4514,8.1292,4.4514,8.1286,5.0488,8.1304,5.2617,2016-04-29 11:32:33.348000$$2016-04-29 11:37:33.550
8.1289,-inf,8.132,-inf,8.1307,4.5052,8.1307,4.5052,8.1298,5.0169,8.1322,5.4459,2016-04-29 11:37:33.550000$$2016-04-29 11:42:36.958
8.1301,-inf,8.1332,-inf,8.1316,4.822,8.1253,4.822,8.1304,5.3061,8.133,5.586,2016-04-29 11:42:36.958000$$2016-04-29 11:47:37.445
8.1307,-inf,8.1339,-inf,8.1324,4.6634,8.1324,4.6634,8.1312,5.3476,8.1337,5.2886,2016-04-29 11:47:37.445000$$2016-04-29 11:52:38.422
8.1309,-inf,8.1335,-inf,8.1321,4.8088,8.1321,4.8088,8.1309,5.4343,8.1331,5.4341,2016-04-29 11:52:38.422000$$2016-04-29 11:57:42.101
