time_index_volume,nom_exe_buy,nom_exe_sell,nom_new_buy,nom_new_sell,nom_amm_buy,nom_amm_sell,nom_can_buy,nom_can_sell,nom_exe,nom_new,nom_can,nom_amm,nom_exe_order_buy_price,nom_exe_order_sell_price,nom_exe_order_buy_volume,nom_exe_order_sell_volume,nom_exe_order_volume_average,nom_exe_order_price_average
2016-04-29 07:00:11.102000$$2016-04-29 07:06:11.225,3.2915233839999996,2.5343006619999997,-1.272343073,-2.045571933,0.605526861,1.345740996,-2.366792745,-2.291830536,0.711092084,0.577973165,-0.233927561,-0.5192907370000001,-0.345953135,-0.898004138,-1.34913602,-1.1212769120000001,1.2032,0.3852
2016-04-29 07:06:11.225000$$2016-04-29 07:12:12.100,2.625034697,1.791381945,-1.854351509,-2.9118215160000003,2.9030764430000002,3.227388997,-3.868249893,-3.009051407,1.081154893,0.843187974,-1.1657412459999998,0.00241922,-0.691681309,-0.666757953,-1.203405716,-1.20700968,0.997,1.0374
2016-04-29 07:12:12.100000$$2016-04-29 07:18:12.490,0.40090952700000004,0.5578565289999999,-0.854902539,-0.34807274899999996,1.819061016,0.551267396,-1.641951364,-0.8541434509999999,-0.646447349,-0.48709583,-0.8036533809999999,1.169114147,-0.799804387,-0.773561141,-0.848149565,-0.84181858,1.0075,1.0339
2016-04-29 07:18:12.490000$$2016-04-29 07:24:13.505,-0.819738293,-0.588060547,0.208768051,0.999426603,0.768833082,-0.795753633,-0.323227337,0.667922561,-1.200899092,-0.6133885960000001,-0.824110323,1.788855087,-0.883960402,-0.8585000140000001,-0.615361361,-0.608911874,1.0106,1.0297
2016-04-29 07:24:13.505000$$2016-04-29 07:30:15.427,-0.523937134,-0.321731196,-0.44950356,0.938176632,-0.346154215,0.142083625,1.138637635,-0.54908118,-0.9458384409999999,-1.0961076140000001,1.44354164,-0.5605226529999999,-1.063629189,-1.0339374909999999,-0.26935721,-0.262731588,1.0252,1.0287
2016-04-29 07:30:15.427000$$2016-04-29 07:36:16.588,-0.370420077,-0.23762719100000002,0.064269404,-1.087447394,1.8387703869999998,0.664763625,-1.733317924,0.301198767,-0.650944641,0.938609175,-1.7334213719999998,1.070241695,-0.988375227,-0.960585406,-1.114427041,-1.108231604,1.0056,1.0289
2016-04-29 07:36:16.588000$$2016-04-29 07:42:17.938,0.075153821,0.27400551,-0.622099165,-0.649947604,0.777279955,0.255579853,-0.429821658,-0.046052967,-0.794215485,-0.043667896,-0.37508045700000003,0.469013044,-0.808624117,-0.7811793429999999,-1.254553202,-1.248429097,1.0049,1.0351
2016-04-29 07:42:17.938000$$2016-04-29 07:48:18.633,-0.12703937699999998,-0.044888844000000004,-1.754005227,-0.8511975070000001,2.018970354,1.19341711,-0.7526501720000001,-0.623724076,-0.45499124399999996,-0.880006658,-0.18585374899999998,0.734916828,-0.48241011,-0.457839702,-0.45334159700000004,-0.446809633,1.0146,1.0537
2016-04-29 07:48:18.633000$$2016-04-29 07:54:19.044,-0.8796473890000001,-0.780798894,-0.6903346370000001,-0.28682277899999997,0.312701915,1.438330025,0.904130129,-0.626969419,-0.554574118,-0.39307788200000005,1.309548674,-0.8041275440000001,-0.473893477,-0.449398111,0.773671854,0.7808284320000001,0.9908,1.0545
2016-04-29 07:54:19.044000$$2016-04-29 08:00:26.125,-1.284033783,-1.320466263,0.513820748,-0.015572909,0.554845621,1.035119739,0.051375562,0.109723512,1.051601266,0.413792569,-0.08868327699999999,-0.36361921799999997,-0.616678056,-0.590924574,-1.798264787,-1.79241746,1.0033,1.0436
2016-04-29 08:00:26.125000$$2016-04-29 08:06:26.331,-0.737363287,-0.7492598909999999,0.782748784,0.176926998,-0.061776142,0.109229453,0.069648874,0.447239216,0.085968625,0.48395521700000005,-0.338257963,-0.244130808,-0.702349552,-0.6758411940000001,-0.974649525,-0.9683829340000001,1.0065,1.0392
2016-04-29 08:06:26.331000$$2016-04-29 08:12:26.392,-0.565124637,-0.794816228,0.040186297,-0.71994757,1.008161163,0.18688476699999998,-0.664329164,1.067099788,1.422306544,0.5948121999999999,-1.3713335080000002,0.7694170029999999,-0.601710335,-0.5760887379999999,-0.53926963,-0.532781409,1.0122,1.0445
2016-04-29 08:12:26.392000$$2016-04-29 08:18:32.734,-0.819738293,-0.991058908,-0.433448155,0.5444268210000001,0.140948821,-0.9092498609999999,0.846264641,1.498730448,1.443508059,-0.8042309990000001,-0.48963933,1.142607915,-0.457646015,-0.43329381,-1.544044611,-1.5380678719999998,1.0039,1.0562
2016-04-29 08:18:32.734000$$2016-04-29 08:24:35.759,-0.860925796,-1.099693248,-0.569919098,1.686301272,0.185998813,-0.308914547,0.9315400970000001,0.103232825,2.32561958,-1.689683615,0.66413217,0.424835991,-0.37656961,-0.352931792,0.251637583,0.258528418,0.9733,1.067
2016-04-29 08:24:35.759000$$2016-04-29 08:30:39.326,0.15004019,0.021693494,-1.473035637,-1.2318223240000001,1.427689212,0.392970025,-0.5485981870000001,0.46995661899999996,0.242088873,-0.321511981,-0.866047053,0.96547897,-0.21442054,-0.192211465,-0.381317389,-0.374748762,1.0175,1.1155
