cancel_order_buy_price,cancel_order_buy_volume,cancel_order_sell_price,cancel_order_sell_volume,execute_order_buy_price,execute_order_buy_volume,execute_order_sell_price,execute_order_sell_volume,new_order_buy_price,new_order_buy_volume,new_order_sell_price,new_order_sell_volume,time_index_volume,nom_exe_order_buy_price,nom_exe_order_sell_price,nom_exe_order_buy_volume,nom_exe_order_sell_volume
3406.8475,0.0,3422.4909,0.0,3413.0,73.2,3413.3333,64.3333,3407.7273,275.2364,3417.6557,149.3443,2016-04-29 08:58:19.280000$$2016-04-29 09:03:42.222,-0.36398991449512696,-0.31809084750861344,-0.9069170567646946,-1.1802951772147472
3411.3615,0.0,3420.6647,0.0,3414.2667,85.2,3414.2667,85.2,3412.0449,167.4487,3420.5161,234.6065,2016-04-29 09:03:42.222000$$2016-04-29 09:09:03.278,-0.3164662055834126,-0.2836611883563205,-0.5289113355414476,-0.5208208032076316
3411.122,0.0,3419.9268,0.0,3415.0,87.6,3415.0,87.6,3412.124,182.2171,3418.5115,204.5517,2016-04-29 09:09:03.278000$$2016-04-29 09:14:24.417,-0.2889544539887568,-0.2566124749897439,-0.4533101912967985,-0.44497083662848524
3412.0452,0.0,3419.843,0.0,3415.85,92.7,3415.85,92.7,3412.6667,190.0784,3418.861,155.7701,2016-04-29 09:14:24.417000$$2016-04-29 09:19:50.263,-0.2570643832735529,-0.22525913207198622,-0.2926577597769182,-0.2837896576477986
3411.1089,0.0,3420.0192,0.0,3415.8788,81.6667,3415.8485,81.6667,3411.1316,196.3421,3418.1769,166.0816,2016-04-29 09:19:50.263000$$2016-04-29 09:25:10.639,-0.2559838726422594,-0.22531446150065912,-0.6402119701079557,-0.6324877560885057
3404.7131,0.0,3414.4331,0.0,3408.1429,115.0,3408.1429,115.0,3403.6654,218.7605,3411.4419,177.4719,2016-04-29 09:25:10.639000$$2016-04-29 09:30:30.676,-0.5462172821078787,-0.5095454252501961,0.40980287216294903,0.4209829484834377
3403.2804,0.0,3413.9,0.0,3408.7778,134.4444,3408.7778,134.4444,3405.5537,179.5455,3414.8208,226.9942,2016-04-29 09:30:30.676000$$2016-04-29 09:35:52.100,-0.5223972751701309,-0.48612632240491727,1.0223107426423912,1.0355067360465864
3408.2525,0.0,3418.7654,0.0,3413.3333,60.5556,3413.3333,60.5556,3409.3704,216.8074,3418.1269,210.8284,2016-04-29 09:35:52.100000$$2016-04-29 09:41:12.602,-0.3514852550017486,-0.31809084750861344,-1.3052216852176302,-1.2996861850255979
3406.6948,0.0,3415.1473,0.0,3410.0,146.3333,3409.5,128.25,3406.1284,220.6622,3412.7329,188.9247,2016-04-29 09:41:12.602000$$2016-04-29 09:46:42.528,-0.4765431052546822,-0.4594870468105503,1.3968167608966464,0.8397379723058092
3406.9346,0.0,3414.4294,0.0,3409.7368,95.4737,3409.7778,96.6667,3406.9319,169.8325,3413.4936,219.6474,2016-04-29 09:46:42.528000$$2016-04-29 09:52:05.027,-0.4864177718573156,-0.4492400366193161,-0.20528488736384182,-0.15842546496884
3405.3969,0.0,3414.1048,0.0,3408.9444,118.6667,3408.9444,118.6667,3405.9496,206.8101,3413.3527,255.5891,2016-04-29 09:52:05.027000$$2016-04-29 09:57:25.224,-0.5161468213099496,-0.4799810671930355,0.5253056703303892,0.5368658953400032
3402.6036,0.0,3412.8201,0.0,3407.0769,61.1538,3407.0769,61.1538,3402.2517,214.8027,3410.1446,144.8795,2016-04-29 09:57:25.224000$$2016-04-29 10:02:45.590,-0.5862111825577666,-0.5488662058976397,-1.2863781000146512,-1.2807805808557455
3402.6716,0.0,3411.08,0.0,3406.125,90.5,3406.125,90.5,3402.5363,168.7207,3409.0741,175.963,2016-04-29 10:02:45.590000$$2016-04-29 10:08:06.041,-0.6219243099857743,-0.5839782613369543,-0.36195880866784697,-0.353318793678683
3402.1435,0.0,3410.848,0.0,3405.8333,84.7,3405.8333,84.7,3403.6288,199.0611,3410.2659,207.8844,2016-04-29 10:08:06.041000$$2016-04-29 10:13:29.344,-0.6328682319006366,-0.5947379909006222,-0.5446615739257495,-0.536622879578287
3403.24,0.0,3411.4444,0.0,3406.5,58.625,3406.8,53.6,3402.8987,235.5823,3409.7397,212.3836,2016-04-29 10:13:29.344000$$2016-04-29 10:18:50.948,-0.6078551611408299,-0.5590800184316668,-1.366036505667097,-1.5195120298330609
3396.6492,0.0,3407.5529,0.0,3402.5938,91.9688,3402.5938,91.9688,3395.3863,213.4822,3404.4275,144.692,2016-04-29 10:18:50.948000$$2016-04-29 10:24:11.026,-0.7544069190558176,-0.7142311137030654,-0.3156909083901214,-0.30689861413224534
3392.6806,0.0,3404.4476,0.0,3398.0,114.4375,3398.0,114.4375,3392.8854,139.4076,3401.98,212.3067,2016-04-29 10:24:11.026000$$2016-04-29 10:29:36.036,-0.926755868292903,-0.8836793333449637,0.39208385398060935,0.40320561256645027
3390.5892,0.0,3402.0898,0.0,3395.2727,115.8182,3395.2727,115.8182,3389.8526,201.5895,3398.6331,157.7456,2016-04-29 10:29:36.036000$$2016-04-29 10:34:56.499,-1.0290779740124152,-0.9842793005680344,0.4355765622550209,0.44684146625637855
3389.828,0.0,3401.0321,0.0,3394.5385,107.1538,3394.5385,107.1538,3390.8235,158.9559,3400.1729,277.986,2016-04-29 10:34:56.499000$$2016-04-29 10:40:17.769,-1.056623491564299,-1.011361211591818,0.1626438313411291,0.17301044524456308
3388.2244,0.0,3400.4804,0.0,3395.0526,102.8421,3395.0526,102.8421,3389.5325,211.7013,3398.8165,161.7431,2016-04-29 10:40:17.769000$$2016-04-29 10:45:39.312,-1.0373356264411413,-0.9923979720694452,0.02682322565793954,0.03674281986985215
3387.1892,0.0,3397.6419,0.0,3392.5556,70.6111,3392.0,70.6111,3386.4718,197.0493,3395.0663,142.3976,2016-04-29 10:45:39.312000$$2016-04-29 10:51:00.471,-1.1310173988833385,-1.104997048058571,-0.9884686410709336,-0.9818906271353446
3384.6491,0.0,3394.8027,0.0,3389.875,99.0625,3389.875,99.0625,3384.6173,166.9969,3393.5367,209.9833,2016-04-29 10:51:00.471000$$2016-04-29 10:56:35.029,-1.2315874266000317,-1.1833804053529733,-0.09223597633667589,-0.08270823583120716
3385.2923,0.0,3395.5176,0.0,3391.4167,73.5417,3391.44,71.6,3386.1287,200.5322,3394.0303,200.6909,2016-04-29 10:56:35.029000$$2016-04-29 11:02:16.102,-1.173746341868688,-1.1256533680985055,-0.8961533438528626,-0.950637280489462
3384.8882,0.0,3404.0301,0.0,3398.4324,73.5946,3393.5814,66.5349,3382.8206,332.2287,3399.6318,191.9909,2016-04-29 11:02:16.102000$$2016-04-29 11:07:36.388,-0.9105332017314204,-1.04666507571722,-0.8944869686318037,-1.1107154745394767
3386.7895,0.0,3393.2474,0.0,3391.2,127.4,3391.2,127.4,3387.0568,135.7727,3393.2981,173.4423,2016-04-29 11:07:36.388000$$2016-04-29 11:12:57.374,-1.1818764340145682,-1.1345060766870585,0.8004087840936378,0.812874442475695
3386.8843,0.0,3393.6357,0.0,3390.5714,56.4286,3390.5714,56.4286,3386.869,154.6621,3393.6172,149.0312,2016-04-29 11:12:57.374000$$2016-04-29 11:18:20.318,-1.2054600792517207,-1.1576927959318875,-1.4352241528416583,-1.4301165233889883
3388.1639,0.0,3394.6919,0.0,3392.0,85.7045,3392.0,85.7045,3388.3655,139.8876,3394.5907,161.3628,2016-04-29 11:18:20.318000$$2016-04-29 11:23:41.870,-1.1518622498120135,-1.104997048058571,-0.5130193450116871,-0.5048765081496404
3389.4062,0.0,3395.7321,0.0,3392.4444,66.7778,3392.4444,66.7778,3389.4806,177.5194,3394.3966,177.5517,2016-04-29 11:23:41.870000$$2016-04-29 11:29:01.886,-1.1351893704875033,-1.0886047826554548,-1.1092194186680229,-1.1030388258386121
3388.5445,0.0,3395.6436,0.0,3390.4286,105.8571,3390.4286,105.8571,3388.4279,150.9952,3394.9032,202.4009,2016-04-29 11:29:01.886000$$2016-04-29 11:34:24.870,-1.2108176111318614,-1.1629601575420576,0.12179716311528037,0.132029340384905
3390.6432,0.0,3399.0256,0.0,3396.9032,91.6129,3396.9032,91.6129,3392.8636,150.9711,3400.0526,201.6351,2016-04-29 11:34:24.870000$$2016-04-29 11:39:47.931,-0.967905314834589,-0.9241362115946039,-0.32690192807206775,-0.3181465320928781
3392.7262,0.0,3404.3024,0.0,3399.6667,124.4444,3399.6667,124.4444,3395.4405,160.5,3403.8222,283.6167,2016-04-29 11:39:47.931000$$2016-04-29 11:45:08.721,-0.8642250672799112,-0.8222009608260942,0.707305974956352,0.7194652086334759
3395.3249,0.0,3406.5829,0.0,3401.25,104.8125,3375.75,104.8125,3397.6211,185.1806,3407.3103,254.1552,2016-04-29 11:45:08.721000$$2016-04-29 11:50:34.005,-0.8048232449700515,-1.7043991920745898,0.08889176508279663,0.09901564243133139
3399.0958,0.0,3407.4115,0.0,3402.8182,111.9545,3402.8182,111.9545,3398.3533,268.8933,3405.6273,186.5727,2016-04-29 11:50:34.005000$$2016-04-29 11:55:54.418,-0.7459879403870007,-0.7059538311727743,0.3138681701641657,0.32473250130977477
3398.1713,0.0,3406.0223,0.0,3402.7297,108.027,3402.5405,108.027,3398.4313,187.3175,3405.4304,211.6435,2016-04-29 11:55:54.418000$$2016-04-29 12:01:23.396,-0.7493082595144186,-0.7161971527354393,0.19015004765547397,0.2006071914182758
3398.4981,0.0,3407.1094,0.0,3402.6333,140.6333,3402.6,140.6333,3399.2568,159.3152,3406.338,183.5889,2016-04-29 12:01:23.396000$$2016-04-29 12:06:51.488,-0.752924968710822,-0.7140024187312017,1.2172640433156037,1.231101676947286
