time_index_volume,nom_exe_buy,nom_exe_sell,nom_new_buy,nom_new_sell,nom_amm_buy,nom_amm_sell,nom_can_buy,nom_can_sell,nom_exe_order_buy_price,nom_exe_order_sell_price,nom_exe_order_buy_volume,nom_exe_order_sell_volume
2016-04-29 12:16:54.479000$$2016-04-29 12:23:55.016,2.730377638,3.9236079,-0.645030763,-0.331869059,-0.760343367,-1.410346214,-0.964612745,-1.90921208,2.253252084,2.245104813,2.71254258,2.701491685
2016-04-29 12:23:55.016000$$2016-04-29 12:30:56.161,0.292075278,0.61434562,-0.25173633,-1.028976762,0.207637973,0.541252095,-0.271231795,-0.414831436,1.964481465,1.96064745,-0.564897185,-0.554279105
2016-04-29 12:30:56.161000$$2016-04-29 12:37:56.231,0.539656749,0.455445761,0.886307135,0.071488858,-1.394036857,0.812062117,0.382087144,-1.395724457,1.77678315,1.777201165,-0.718850585,-0.707214634
2016-04-29 12:37:56.231000$$2016-04-29 12:44:56.241,1.443704239,0.866512788,0.547404485,-0.029350621,-0.699299499,-0.624408433,-0.8505901,-0.105422227,1.45388422,1.400609689,0.25260004,0.257813192
2016-04-29 12:44:56.241000$$2016-04-29 12:52:02.006,1.004809814,1.360484088,0.367493202,0.479231099,-1.286483375,-1.316151424,0.268064499,-0.184420323,1.108574489,1.11364632,-0.773868247,-0.761868544
2016-04-29 12:52:02.006000$$2016-04-29 12:59:08.877,0.449627123,0.91141927,0.877939168,1.228950705,-1.742858962,-1.6664383,0.832014338,0.072323488,1.245520345,1.252327869,-0.86219134,-0.849607683
2016-04-29 12:59:08.877000$$2016-04-29 13:06:11.215,0.96729747,1.429570983,0.484644735,0.531843001,-1.551006804,-1.742971567,0.493028096,0.187529044,1.476509478,1.480191849,-0.808701205,-0.796471201
2016-04-29 13:06:11.215000$$2016-04-29 13:13:12.601,0.127020965,0.76633679,0.685475935,1.342943159,-1.641119181,-1.245505331,1.13093857,-0.342416514,1.65709742,1.658954897,-0.861074044,-0.848497774
2016-04-29 13:13:12.601000$$2016-04-29 13:20:14.226,-0.510688883,-0.656853251,1.852807283,1.430629663,-1.606236971,-1.289659139,0.761135397,0.990676351,1.49413566,1.497953082,-0.583947917,-0.573203883
2016-04-29 13:20:14.226000$$2016-04-29 13:27:15.205,0.295826513,-0.235423191,0.195949886,1.601618345,-0.606280271,-2.184509646,0.255737727,1.464664925,1.275947416,1.282388993,-0.89494646,-0.882146241
2016-04-29 13:27:15.205000$$2016-04-29 13:34:15.225,0.494641936,0.745610721,-0.07600903,-0.314331758,-0.333036289,-0.08278839,-4.28E-05,-0.381915562,1.444370445,1.443200848,1.609090922,1.605335558
2016-04-29 13:34:15.225000$$2016-04-29 13:41:15.681,-0.349385804,0.210187283,0.108086236,-0.432708538,-0.240017062,0.196852394,0.465292858,-0.095547465,1.552420012,1.554133667,2.263015994,2.254937169
2016-04-29 13:41:15.681000$$2016-04-29 13:48:15.747,0.018235167,-0.073068987,-1.569691078,-0.945674583,1.652342856,1.430215428,-0.610218037,-0.819696676,1.43442036,1.438590672,2.029414388,2.022880033
2016-04-29 13:48:15.747000$$2016-04-29 13:55:16.707,-0.491932711,-0.100703745,-0.042537164,-0.296794457,0.021599517,0.167416522,0.412904075,0.13157206,0.992445794,0.995239317,0.327045314,0.331766267
2016-04-29 13:55:16.707000$$2016-04-29 14:02:17.005,-0.023028411,-0.052342919,-0.322864047,0.277552141,0.347166814,-0.315331778,-0.114065446,0.194112219,0.733462571,0.746110808,0.92172701,0.922516192
2016-04-29 14:02:17.005000$$2016-04-29 14:09:18.593,-0.446917898,-0.736303181,-0.44001558,0.974659844,0.995394559,-0.892274868,-0.363682588,0.96763524,0.507875546,0.52355474,0.838806962,0.840144374
2016-04-29 14:09:18.593000$$2016-04-29 14:16:18.643,-0.188082725,-0.252694915,-0.770550263,0.610760855,0.730871129,-0.712716049,-0.052431584,0.582519523,0.852042736,0.862881235,0.633834819,0.636527416
2016-04-29 14:16:18.643000$$2016-04-29 14:23:18.720,-0.739514182,-0.487590358,0.463724819,0.352085669,-0.56849121,-0.265290796,0.868994656,0.496938253,1.031776546,1.041154771,-0.325535668,-0.31650014
2016-04-29 14:23:18.720000$$2016-04-29 14:30:19.025,0.036991339,-0.124884158,-0.26428828,0.970275519,0.129152999,-1.03651064,0.024610744,0.54960365,0.979426749,0.988945075,0.543664019,0.546952785
2016-04-29 14:30:19.025000$$2016-04-29 14:37:19.909,-0.754519119,-0.53940553,0.200133869,0.382775945,0.071015982,-0.100449913,0.394413917,0.338942061,0.863734364,0.726241753,1.889922469,1.884310372
2016-04-29 14:37:19.909000$$2016-04-29 14:44:20.024,-0.683245666,-0.649944562,-0.046721147,-0.011813321,0.187290017,0.382298387,0.394413917,0.200695394,0.947428222,0.957820907,0.81168168,0.813198432
2016-04-29 14:44:20.024000$$2016-04-29 14:51:20.209,-0.356888273,-0.656853251,-0.385623797,-0.274872831,0.882027375,0.4941547,-0.357519202,0.279693489,0.572342187,0.58724604,1.023937927,1.024051335
2016-04-29 14:51:20.209000$$2016-04-29 14:58:20.700,-0.476927774,-0.694851044,-0.703606529,0.334548368,1.306427602,-0.441906027,-0.471541847,0.905095081,-0.108700642,-0.085605872,2.429886672,2.420704572
2016-04-29 14:58:20.700000$$2016-04-29 15:05:20.717,-0.31187346,-0.352870913,-0.624110846,-0.393249611,0.93144384,0.270442073,-0.268150102,0.329067299,-0.142821558,-0.120054335,-0.461739068,-0.451803024
2016-04-29 15:05:20.717000$$2016-04-29 15:12:20.892,-0.735762947,-0.687942354,-0.034169197,-0.489704765,0.460533998,0.767908309,0.141715082,0.164487933,-0.517589604,-0.489577117,1.320758482,1.318909445
2016-04-29 15:12:20.892000$$2016-04-29 15:19:20.993,-0.236848772,-0.055797263,-0.57808703,-0.73084265,1.009928813,0.791457007,-0.449969995,-0.283167943,-0.517212455,-0.492846616,0.804701081,0.816170338
2016-04-29 15:19:20.993000$$2016-04-29 15:26:21.969,-0.46567407,-0.280329673,-0.619926863,-0.853603755,1.163991909,0.870933861,-0.394499519,-0.069214767,-0.436905545,-0.409863447,1.965821895,1.959707985
