cancel_order_buy_price,cancel_order_buy_volume,cancel_order_sell_price,cancel_order_sell_volume,execute_order_buy_price,execute_order_buy_volume,execute_order_sell_price,execute_order_sell_volume,new_order_buy_price,new_order_buy_volume,new_order_sell_price,new_order_sell_volume,time_index_volume,nom_exe_order_buy_price,nom_exe_order_sell_price,nom_exe_order_buy_volume,nom_exe_order_sell_volume
3410.3527,0.0,3420.0368,0.0,3416.0,84.0714,3416.0,84.0714,3410.229,214.2977,3417.8008,158.0508,2016-04-29 09:21:22.224000$$2016-04-29 09:26:22.827,0.079460119504333,0.0814756653877498,-0.5466572251056783,-0.5389822781362336
3404.7709,0.0,3414.234,0.0,3408.1429,115.0,3408.1429,115.0,3403.4219,206.4297,3411.3613,175.4088,2016-04-29 09:26:22.827000$$2016-04-29 09:31:24.649,0.056458723120896795,0.05847182464211659,0.36793777647953324,0.37955514483114516
3403.9742,0.0,3415.0714,0.0,3408.7778,134.4444,3408.7778,134.4444,3406.6571,174.725,3416.5192,257.4279,2016-04-29 09:31:24.649000$$2016-04-29 09:36:24.807,0.05831737154892287,0.06033067058901844,0.9429315055465937,0.9570274218545765
3408.5039,0.0,3418.9016,0.0,3413.3333,60.5556,3413.3333,60.5556,3408.7864,246.6,3417.3436,183.1762,2016-04-29 09:36:24.807000$$2016-04-29 09:41:31.002,0.07165344481065301,0.07366816107745926,-1.2420470306021285,-1.2373696067258328
3406.8776,0.0,3415.0866,0.0,3410.0,146.3333,3409.5,128.25,3406.4167,203.5069,3412.7254,191.4859,2016-04-29 09:41:31.002000$$2016-04-29 09:46:42.528,0.06189532100353574,0.06244511151334161,1.2945002320439594,0.7730621530474163
3407.0511,0.0,3414.5706,0.0,3409.7222,95.2222,3409.7647,96.4706,3407.1193,156.25,3413.617,221.0213,2016-04-29 09:46:42.528000$$2016-04-29 09:51:45.915,0.06108207083294928,0.06322009422265841,-0.21691498188495764,-0.1707428746437661
3405.4767,0.0,3413.992,0.0,3409.0,117.6842,3409.0,117.6842,3406.0156,211.1484,3413.2992,250.8268,2016-04-29 09:51:45.915000$$2016-04-29 09:56:49.092,0.05896785458673619,0.06098122275377175,0.44731272081115603,0.45927224003522943
3402.5373,0.0,3415.1064,0.0,3407.0,95.0,3407.0,95.0,3402.2,234.4167,3411.3964,156.0721,2016-04-29 09:56:49.092000$$2016-04-29 10:01:49.631,0.0531129217531371,0.05512566771549231,-0.2234856966716675,-0.21441769775945294
3402.8407,0.0,3410.5906,0.0,3406.7,71.2,3406.7,71.2,3402.6256,171.8813,3409.0118,172.9467,2016-04-29 10:01:49.631000$$2016-04-29 10:06:51.277,0.05223468182809671,0.054247334459749864,-0.9272796297215964,-0.9212453804422646
3402.0977,0.0,3410.9521,0.0,3405.8333,84.7,3405.8333,84.7,3403.4843,199.4753,3410.2626,205.0335,2016-04-29 10:06:51.277000$$2016-04-29 10:11:52.100,0.049697446684656435,0.05170982968391136,-0.5280687853445358,-0.5203137116936108
3403.3286,0.0,3411.4412,0.0,3406.5,58.625,3406.5,58.625,3403.1818,235.4156,3409.9296,212.4225,2016-04-29 10:11:52.100000$$2016-04-29 10:16:56.229,0.05164918854473733,0.05366177895592245,-1.299137138465414,-1.2947058052211031
3397.6966,0.0,3407.869,0.0,3402.5938,91.9688,3402.9118,88.5294,3396.3529,220.5975,3404.8814,151.6126,2016-04-29 10:16:56.229000$$2016-04-29 10:21:56.553,0.040213919227435245,0.04315632766174489,-0.3131218382624635,-0.40658573152278926
3391.8,0.0,3404.8433,0.0,3398.2308,113.3846,3398.2308,113.3846,3391.9938,156.3875,3401.7704,179.2074,2016-04-29 10:21:56.553000$$2016-04-29 10:26:57.807,0.027441383250938003,0.029451401094651747,0.32016850255311097,0.33157995833510273
