cancel_order_buy_price,cancel_order_buy_volume,cancel_order_sell_price,cancel_order_sell_volume,execute_order_buy_price,execute_order_buy_volume,execute_order_sell_price,execute_order_sell_volume,new_order_buy_price,new_order_buy_volume,new_order_sell_price,new_order_sell_volume,time_index_volume
3406.8776,0.0,3415.0866,0.0,3410.0,146.3333,3409.5,128.25,3406.4167,203.5069,3412.7254,191.4859,2016-04-29 09:41:31.002000$$2016-04-29 09:46:42.528
3407.0511,0.0,3414.5706,0.0,3409.7222,95.2222,3409.7647,96.4706,3407.1193,156.25,3413.617,221.0213,2016-04-29 09:46:42.528000$$2016-04-29 09:51:45.915
3405.4767,0.0,3413.992,0.0,3409.0,117.6842,3409.0,117.6842,3406.0156,211.1484,3413.2992,250.8268,2016-04-29 09:51:45.915000$$2016-04-29 09:56:49.092
3402.5373,0.0,3415.1064,0.0,3407.0,95.0,3407.0,95.0,3402.2,234.4167,3411.3964,156.0721,2016-04-29 09:56:49.092000$$2016-04-29 10:01:49.631
3402.8407,0.0,3410.5906,0.0,3406.7,71.2,3406.7,71.2,3402.6256,171.8813,3409.0118,172.9467,2016-04-29 10:01:49.631000$$2016-04-29 10:06:51.277
3402.0977,0.0,3410.9521,0.0,3405.8333,84.7,3405.8333,84.7,3403.4843,199.4753,3410.2626,205.0335,2016-04-29 10:06:51.277000$$2016-04-29 10:11:52.100
3403.3286,0.0,3411.4412,0.0,3406.5,58.625,3406.5,58.625,3403.1818,235.4156,3409.9296,212.4225,2016-04-29 10:11:52.100000$$2016-04-29 10:16:56.229
3397.6966,0.0,3407.869,0.0,3402.5938,91.9688,3402.9118,88.5294,3396.3529,220.5975,3404.8814,151.6126,2016-04-29 10:16:56.229000$$2016-04-29 10:21:56.553
3391.8,0.0,3404.8433,0.0,3398.2308,113.3846,3398.2308,113.3846,3391.9938,156.3875,3401.7704,179.2074,2016-04-29 10:21:56.553000$$2016-04-29 10:26:57.807
3392.5043,0.0,3403.9802,0.0,3396.1667,98.5833,3396.1667,98.5833,3392.0431,152.2931,3400.5446,185.297,2016-04-29 10:26:57.807000$$2016-04-29 10:31:57.819
3390.3034,0.0,3401.399,0.0,3394.7333,133.1333,3394.7333,133.1333,3390.3714,169.4095,3399.7865,229.4792,2016-04-29 10:31:57.819000$$2016-04-29 10:36:58.018
3389.4328,0.0,3400.604,0.0,3394.6364,101.6364,3394.6364,101.6364,3390.987,174.2208,3399.4207,241.3586,2016-04-29 10:36:58.018000$$2016-04-29 10:42:06.254
3388.8105,0.0,3399.6068,0.0,3394.8333,94.1667,3394.4167,94.1667,3388.8542,238.4236,3398.0584,153.4745,2016-04-29 10:42:06.254000$$2016-04-29 10:47:12.601
