best_ask,best_bid,time_index,top_buy_price_points,top_sell_price_points
617989.0,622076.0,2016-04-29 07:32:11.358000$$2016-04-29 07:32:44.642,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3398.0,3399.0,3400.0,3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,"
652509.0,656256.0,2016-04-29 07:32:44.642000$$2016-04-29 07:33:15.362,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3398.0,3399.0,3400.0,3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,"
588208.0,591314.0,2016-04-29 07:33:15.362000$$2016-04-29 07:33:48.913,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3400.0,3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,"
584448.0,587896.0,2016-04-29 07:33:48.913000$$2016-04-29 07:34:25.555,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3398.0,3399.0,3400.0,3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,"
818777.0,823738.0,2016-04-29 07:34:25.555000$$2016-04-29 07:34:57.013,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3400.0,3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,"
574431.0,577642.0,2016-04-29 07:34:57.013000$$2016-04-29 07:35:29.178,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3399.0,3400.0,3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,"
411506.0,413578.0,2016-04-29 07:35:29.178000$$2016-04-29 07:36:03.135,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,3411.0,"
282347.0,283694.0,2016-04-29 07:36:03.135000$$2016-04-29 07:36:35.131,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,3411.0,"
227826.0,229006.0,2016-04-29 07:36:35.131000$$2016-04-29 07:37:06.772,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3400.0,3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,"
210839.0,211916.0,2016-04-29 07:37:06.772000$$2016-04-29 07:37:42.101,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,"
54416.0,54688.0,2016-04-29 07:37:42.101000$$2016-04-29 07:38:13.264,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,"
350274.0,352054.0,2016-04-29 07:38:13.264000$$2016-04-29 07:38:43.703,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,"
37411.0,37598.0,2016-04-29 07:38:43.703000$$2016-04-29 07:39:19.517,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,"
51015.0,51270.0,2016-04-29 07:39:19.517000$$2016-04-29 07:39:52.424,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,"
