time_index_volume,nom_exe_buy,nom_exe_sell,nom_new_buy,nom_new_sell,nom_amm_buy,nom_amm_sell,nom_can_buy,nom_can_sell,nom_exe,nom_new,nom_can,nom_amm,nom_exe_order_buy_price,nom_exe_order_sell_price,nom_exe_order_buy_volume,nom_exe_order_sell_volume,nom_exe_order_volume_average,nom_exe_order_price_average
2016-04-29 07:00:11.102000$$2016-04-29 07:05:11.794,3.0460117589999998,2.070731728,-0.831833065,-0.39273493299999995,-0.304416383,-0.425449375,-1.36666659,-1.066636746,0.971208683,-0.149358009,-0.228801048,0.003226813,0.09487820699999999,0.0032334459999999996,-1.486503052,-1.1975437279999999,1.2413,29.3428
2016-04-29 07:05:11.794000$$2016-04-29 07:10:12.100,3.5343753380000003,2.6425884440000003,-1.8119264169999998,-3.829836732,2.8189750389999997,3.4890807880000003,-4.131270977,-3.474933024,0.7074596479999999,1.302432796,-0.785314895,-0.292319591,0.04789442,0.04988114,-1.022164655,-1.016539413,1.0055,0.9602
2016-04-29 07:10:12.100000$$2016-04-29 07:15:12.204,1.493452919,1.035298859,-1.400671559,-1.138370706,1.982254999,1.710705526,-2.0814179680000002,-2.034201623,0.585112187,-0.075065942,-0.13341672300000001,0.182322553,0.039083039,0.040983917,-1.156929364,-1.151885035,1.0044,0.9536
2016-04-29 07:15:12.204000$$2016-04-29 07:20:12.241,-0.394400319,-0.17947369100000002,-0.5589443279999999,0.416698554,1.7069822819999998,-0.44912596899999996,-1.002547963,0.36196218,-0.75118283,-0.386163972,-0.742992049,2.261524171,0.0363845,0.038290947,-0.5667212660000001,-0.559132807,1.0136,0.9502
2016-04-29 07:20:12.241000$$2016-04-29 07:25:15.286,-0.8681858809999999,-0.6193634720000001,0.37118348100000004,1.002840044,0.368775311,-0.43071084,0.014287016000000001,0.28916733,-1.069085659,-0.208172562,-0.115097879,0.752277451,0.027680557,0.029507613999999998,-0.007246489,0.0027536229999999997,-2.6316,0.9381
2016-04-29 07:25:15.286000$$2016-04-29 07:30:15.427,-0.317865728,-0.155787318,-0.293742597,0.54429398,-0.35892583200000006,-0.096607796,0.79646777,-0.159734243,-0.5832057820000001,-0.31651516,0.602495459,-0.363804156,0.016682359,0.018691233,-0.220200339,-0.211118179,1.043,0.8925
2016-04-29 07:30:15.427000$$2016-04-29 07:35:17.282,-0.263198163,-0.08134443200000001,-0.047758383,-1.114446563,1.505297321,0.49530704799999997,-1.261476765,0.349829705,-0.629838216,0.616778929,-0.888279432,0.8156911790000001,0.021127716,0.023028443,-0.879528098,-0.8732880129999999,1.0071,0.9175
2016-04-29 07:35:17.282000$$2016-04-29 07:40:17.603,0.41467964,0.531117494,0.509549601,-0.895141924,1.17006421,0.061236162999999996,-1.8251863419999999,0.131445156,-0.412220191,0.784709955,-1.1207392459999999,0.97979822,0.033875369,0.035886071,-1.340149399,-1.335894852,1.0032,0.9440000000000001
2016-04-29 07:40:17.603000$$2016-04-29 07:45:17.677,-0.40168932799999996,-0.335126998,-1.293053466,-0.81938214,1.881412518,0.960946724,-0.657309562,-0.187032312,-0.285359914,-0.17721753399999998,-0.265438736,0.6857891190000001,0.053405667999999996,0.055418445,-0.14364352800000002,-0.134231364,1.0701,0.9637
2016-04-29 07:45:17.677000$$2016-04-29 07:50:23.729,-0.131996008,0.043854968,-2.034849611,0.21733070000000002,0.7121848390000001,1.321357095,0.820742345,-1.724823512,-0.592732839,-1.004490653,1.7066795730000002,-0.458348259,0.067018387,0.069032611,-0.93873846,-0.9327536040000001,1.0064,0.9708
