time_index_volume,nom_exe_buy,nom_exe_sell,nom_new_buy,nom_new_sell,nom_amm_buy,nom_amm_sell,nom_can_buy,nom_can_sell,nom_exe_order_buy_price,nom_exe_order_sell_price,nom_exe_order_buy_volume,nom_exe_order_sell_volume,cluster_group,anomaly_state
2016-04-29 07:00:11.102000$$2016-04-29 07:07:12.101,4.0583146160000005,3.156743363,-0.795654163,-2.581027875,0.32391200800000003,1.4449333640000002,-3.09098099,-2.686026688,-0.434180456,-0.81177436,-1.272198995,-1.091531413,1.0,Not Suspicious
2016-04-29 07:07:12.101000$$2016-04-29 07:14:12.734,1.743802991,1.0357756809999998,-2.368831894,-2.45826677,3.4952863080000003,2.878460327,-3.389905222,-2.360159543,-0.7145428659999999,-0.684954334,-1.4854224530000002,-1.468718269,1.0,Not Suspicious
2016-04-29 07:14:12.734000$$2016-04-29 07:21:13.219,-0.420659258,-0.162881951,-0.42327964700000004,0.799286837,1.056438427,-0.062183279,-0.465378461,-0.37533238799999996,-0.816827965,-0.786129799,-0.525858525,-0.515498551,0.0,Not Suspicious
2016-04-29 07:21:13.219000$$2016-04-29 07:28:13.393,-0.979593183,-0.75702925,0.17502996899999998,1.11495825,0.49832306,-0.38597787100000003,0.147878468,0.31590095,-0.950863855,-0.919923539,-0.063514718,-0.056211555999999996,2.0,Not Suspicious
2016-04-29 07:28:13.393000$$2016-04-29 07:35:13.686,-0.266858647,-0.055797263,0.0034866529999999997,-0.8053761779999999,1.0971343390000001,0.288103597,-0.946122586,0.335650474,-1.0359073159999999,-1.002574279,-0.828529042,-0.816167945,0.0,Not Suspicious
2016-04-29 07:35:13.686000$$2016-04-29 07:42:13.731,-0.06429199,0.051287424000000005,-0.41909566299999995,-0.581775594,1.364564619,0.255724137,-1.0878804690000001,0.101947774,-0.809125985,-0.7776071840000001,-1.40274254,-1.386584999,0.0,Not Suspicious
2016-04-29 07:42:13.731000$$2016-04-29 07:49:20.427,-0.323127163,-0.12833850300000002,-1.5738750609999999,-0.6519247970000001,1.7453620840000001,1.321302701,-0.42531645,-0.862487311,-0.485502337,-0.458975339,-0.34182484399999996,-0.328397702,0.0,Not Suspicious
2016-04-29 07:49:20.427000$$2016-04-29 07:56:20.610,-0.9458320729999999,-0.981561659,-0.013249281000000002,-0.700152373,0.60006284,1.4125539040000001,0.150960161,-0.11858857699999999,-0.505476457,-0.47666351,0.0060311290000000005,0.021982366,0.0,Not Suspicious
2016-04-29 07:56:20.610000$$2016-04-29 08:03:22.474,-1.0996326840000001,-1.0817376570000001,1.137346134,-0.296794457,0.40530383200000003,0.391129148,-0.363682588,0.816222223,-0.67354822,-0.643660015,-0.555938804,-0.545379953,2.0,Not Suspicious
2016-04-29 08:03:22.474000$$2016-04-29 08:10:22.701,-0.750767885,-0.9159291079999999,-0.285208197,0.426619197,0.286122946,-0.232911337,0.523845027,0.816222223,-0.67002816,-0.640182291,-1.6317582290000001,-1.614086538,2.0,Not Suspicious
2016-04-29 08:10:22.701000$$2016-04-29 08:17:24.757,-0.289366054,-0.622309804,-0.645030763,0.023261281,0.582621735,-0.194644703,0.092407992,0.7931811120000001,-0.516402693,-0.48840448200000003,-0.219852795,-0.211515995,2.0,Not Suspicious
2016-04-29 08:17:24.757000$$2016-04-29 08:24:26.815,-0.964588245,-1.116281105,-0.757998313,1.59723402,0.32391200800000003,-0.24174209800000002,1.007670846,0.134863647,-0.383431695,-0.357032729,0.059791417,0.066279333,2.0,Not Suspicious
2016-04-29 08:24:26.815000$$2016-04-29 08:31:28.033,0.044493807999999996,-0.010890781,-1.4985633619999998,-1.3665698,1.6785045140000001,0.30870870699999997,-0.71191391,0.691141905,-0.22059934899999997,-0.19521262600000003,-0.398523454,-0.035577187,0.0,Not Suspicious
2016-04-29 08:31:28.033000$$2016-04-29 08:38:28.163,-0.491932711,-0.639581528,0.371677186,0.544995977,0.8180766559999999,-0.518439294,-0.733485761,0.7800147620000001,-0.26496985100000003,-0.243743679,-0.18316546,-0.703258719,2.0,Not Suspicious
2016-04-29 08:38:28.163000$$2016-04-29 08:45:29.856,-0.8295438070000001,-0.891748695,0.396781085,1.636692946,-1.382409454,0.034955098,1.855136451,-0.418123023,-0.174380077,-0.150495379,1.051696899,1.051626777,2.0,Not Suspicious
2016-04-29 08:45:29.856000$$2016-04-29 08:52:59.100,-0.844548745,-0.9781073140000001,0.647820085,-0.200339303,0.835517761,-0.665618654,-0.668770206,1.8267395309999999,-0.30095063,-0.275543665,-1.069047878,-1.055096578,2.0,Not Suspicious
2016-04-29 08:52:59.100000$$2016-04-29 09:00:01.851,-0.713255541,-0.660307596,-3.523611292,0.865051715,-0.533609,-0.503721358,3.74729602,0.539728888,-0.23723828800000002,-0.21857401699999998,-0.913576956,-1.069926288,2.0,Not Suspicious
2016-04-29 09:00:01.851000$$2016-04-29 09:07:03.225,0.074503683,-0.180153675,2.1958939159999997,-0.301178782,-0.350477395,-1.171915651,-1.30668068,1.7049508000000002,-0.342618229,-0.316710127,-0.7134642170000001,-0.7018638779999999,2.0,Not Suspicious
2016-04-29 09:07:03.225000$$2016-04-29 09:14:12.601,-0.7845289940000001,-1.057557244,0.936514935,1.0798836490000001,-1.0364942,-0.232911337,1.053896242,0.457439205,-0.30379404,-0.278352877,-0.533362752,-0.522953164,2.0,Not Suspicious
2016-04-29 09:14:12.601000$$2016-04-29 09:21:12.602,0.018235167,-0.269966638,0.8821231509999999,0.37839162,-0.920220165,-0.818685188,0.30812651,0.8853455570000001,-0.277171739,-0.253511992,-0.526692328,-0.516326841,2.0,Not Suspicious
2016-04-29 09:21:12.602000$$2016-04-29 09:28:12.743,-0.14681914599999998,0.061650459000000005,-0.222448447,0.943969568,-0.056885457,-0.1033935,0.34818852,-0.651825723,-0.320858195,-0.29521180199999997,-0.0026370879999999997,0.004263579,2.0,Not Suspicious
2016-04-29 09:28:12.743000$$2016-04-29 09:35:13.527,-0.11680927099999999,-0.162881951,0.999274685,-0.235413905,-0.18769374600000002,-0.7244903979999999,-0.44380660899999996,1.142089368,-0.579260904,-0.550506695,0.177871273,0.183578498,2.0,Not Suspicious
2016-04-29 09:35:13.527000$$2016-04-29 09:42:21.641,-1.073374043,-0.919383453,-0.599006946,0.48361542399999996,0.001251561,0.43822654299999997,1.31892185,0.022949677999999998,-0.365420969,-0.339238618,-1.435350911,-1.4189777780000001,2.0,Not Suspicious
2016-04-29 09:42:21.641000$$2016-04-29 09:49:31.049,-0.641982087,-0.615401114,1.338177334,0.44415649799999996,-1.1295134279999999,-0.709772462,0.739563545,1.043341748,-0.49954560000000003,-0.473898135,0.390294281,0.394597059,2.0,Not Suspicious
2016-04-29 09:49:31.049000$$2016-04-29 09:56:32.101,-0.735762947,-0.7363031809999999,0.26707760199999997,0.189865638,-0.019096395,-0.23879851100000002,0.428312541,0.829388572,-0.519216523,-0.491184469,0.06726562700000001,0.073704128,2.0,Not Suspicious
2016-04-29 09:56:32.101000$$2016-04-29 10:03:32.102,-0.769524057,-0.833024834,-0.092744964,-0.28802580699999997,-0.966729779,2.428091486,1.7226236469999998,-1.7084252530000001,-0.606992468,-0.57790473,-1.3782820930000002,-1.3622862740000001,0.0,Not Suspicious
2016-04-29 10:03:32.102000$$2016-04-29 10:10:32.242,0.033240105,0.19636990399999998,2.271205616,-2.572259224,-0.577211763,1.003395285,-1.0878804690000001,0.622018571,-0.654465207,-0.624806514,-0.653430396,-0.642226973,0.0,Not Suspicious
2016-04-29 10:10:32.242000$$2016-04-29 10:17:33.546,-0.6757431970000001,-0.31487312,-2.142896794,0.062720207,1.8529155659999998,1.33307705,0.166368627,-1.241019853,-0.5882200479999999,-0.559358087,-0.9125497109999999,-0.899633107,0.0,Not Suspicious
2016-04-29 10:17:33.546000$$2016-04-29 10:24:37.632,-0.394400617,-0.010890781,0.233605736,-0.21349227899999998,-0.5539569560000001,0.082052493,0.7426452379999999,0.078906663,-0.7731747859999999,-0.731140116,-0.342145025,-0.437334448,0.0,Not Suspicious
